Graph, Category,Live Bytes,# Living,# Transitory,Overall Bytes,# Overall,# Allocations (Net / Overall)
1,* All Allocations *,45,03 KB,172,406,107,20 KB,578,<XRRatioObject: 0x7fde7ad6ce20>  %1.77, %4.19
0,Malloc 192 Bytes,0 Bytes,0,97,18,19 KB,97,<XRRatioObject: 0x7fde7ad6ce20>  %0.00, %1.00
0,Malloc 128 Bytes,3,25 KB,26,50,9,50 KB,76,<XRRatioObject: 0x7fde7ad6ce20>  %0.27, %0.52
0,Malloc 16 Bytes,272 Bytes,17,36,848 Bytes,53,<XRRatioObject: 0x7fde7ad6ce20>  %0.18, %0.37
0,Malloc 48 Bytes,1,69 KB,36,15,2,39 KB,51,<XRRatioObject: 0x7fde7ad6ce20>  %0.37, %0.15
0,Malloc 32 Bytes,544 Bytes,17,14,992 Bytes,31,<XRRatioObject: 0x7fde7ad6ce20>  %0.18, %0.14
0,Malloc 64 Bytes,1,12 KB,18,7,1,56 KB,25,<XRRatioObject: 0x7fde7ad6ce20>  %0.19, %0.07
0,CFDictionary (mutable),192 Bytes,3,20,1,44 KB,23,<XRRatioObject: 0x7fde7ad6ce20>  %0.03, %0.21
0,Malloc 144 Bytes,288 Bytes,2,20,3,09 KB,22,<XRRatioObject: 0x7fde7ad6ce20>  %0.02, %0.21
0,Malloc 208 Bytes,208 Bytes,1,20,4,27 KB,21,<XRRatioObject: 0x7fde7ad6ce20>  %0.01, %0.21
0,CFBasicHash (value-store),64 Bytes,2,10,384 Bytes,12,<XRRatioObject: 0x7fde7ad6ce20>  %0.02, %0.10
0,CFBasicHash (key-store),64 Bytes,2,10,384 Bytes,12,<XRRatioObject: 0x7fde7ad6ce20>  %0.02, %0.10
0,Malloc 224 Bytes,0 Bytes,0,12,2,62 KB,12,<XRRatioObject: 0x7fde7ad6ce20>  %0.00, %0.12
0,Malloc 1,00 KB,1,00 KB,1,10,11,00 KB,11,<XRRatioObject: 0x7fde7ad6ce20>  %0.01, %0.10
0,CFString (immutable),48 Bytes,1,10,1.008 Bytes,11,<XRRatioObject: 0x7fde7ad6ce20>  %0.01, %0.10
0,Malloc 112 Bytes,1,20 KB,11,0,1,20 KB,11,<XRRatioObject: 0x7fde7ad6ce20>  %0.11, %0.00
0,__NSDate,16 Bytes,1,9,160 Bytes,10,<XRRatioObject: 0x7fde7ad6ce20>  %0.01, %0.09
