Graph, Category,Live Bytes,# Living,# Transitory,Overall Bytes,# Overall,# Allocations (Net / Overall)
1,* All Allocations *,47,61 KB,158,14489,616,62 KB,14647,<XRRatioObject: 0x7fde7c2c4760>  %0.01, %1.01
0,CFString (immutable),48 Bytes,1,14367,449,09 KB,14368,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %1.00
0,Malloc 48 Bytes,1,59 KB,34,2,1,69 KB,36,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 4,00 KB,16,00 KB,4,27,124,00 KB,31,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 64 Bytes,1,12 KB,18,7,1,56 KB,25,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 16 Bytes,272 Bytes,17,5,352 Bytes,22,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 128 Bytes,2,12 KB,17,5,2,75 KB,22,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 32 Bytes,512 Bytes,16,5,672 Bytes,21,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,CFString (mutable),0 Bytes,0,17,1,06 KB,17,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,CFString (store),0 Bytes,0,17,1,94 KB,17,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 192 Bytes,0 Bytes,0,14,2,62 KB,14,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 112 Bytes,1,20 KB,11,0,1,20 KB,11,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 80 Bytes,560 Bytes,7,0,560 Bytes,7,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 144 Bytes,432 Bytes,3,2,720 Bytes,5,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,CFDictionary (mutable),192 Bytes,3,2,320 Bytes,5,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 256 Bytes,0 Bytes,0,4,1,00 KB,4,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 160 Bytes,640 Bytes,4,0,640 Bytes,4,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 96 Bytes,96 Bytes,1,2,288 Bytes,3,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,CFBasicHash (value-store),64 Bytes,2,1,96 Bytes,3,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,CFBasicHash (key-store),64 Bytes,2,1,96 Bytes,3,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 208 Bytes,208 Bytes,1,2,624 Bytes,3,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 1,00 KB,1,00 KB,1,1,2,00 KB,2,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 304 Bytes,0 Bytes,0,2,608 Bytes,2,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,Malloc 3,00 KB,6,00 KB,2,0,6,00 KB,2,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,NSPlaceholderString,16 Bytes,1,0,16 Bytes,1,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,NSPlaceholderMutableString,16 Bytes,1,0,16 Bytes,1,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
0,__NSPlaceholderDate,16 Bytes,1,0,16 Bytes,1,<XRRatioObject: 0x7fde7c2c4760>  %0.00, %0.00
