Graph, Category,Live Bytes,# Living,# Transitory,Overall Bytes,# Overall,# Allocations (Net / Overall)
1,* All Allocations *,42,28 KB,143,316,92,23 KB,459,<XRRatioObject: 0x7fde7c0050f0>  %1.86, %4.10
0,Malloc 192 Bytes,0 Bytes,0,77,14,44 KB,77,<XRRatioObject: 0x7fde7c0050f0>  %0.00, %1.00
0,Malloc 128 Bytes,1,25 KB,10,40,6,25 KB,50,<XRRatioObject: 0x7fde7c0050f0>  %0.13, %0.52
0,Malloc 48 Bytes,1,36 KB,29,9,1,78 KB,38,<XRRatioObject: 0x7fde7c0050f0>  %0.38, %0.12
0,Malloc 16 Bytes,272 Bytes,17,17,544 Bytes,34,<XRRatioObject: 0x7fde7c0050f0>  %0.22, %0.22
0,Malloc 32 Bytes,512 Bytes,16,17,1,03 KB,33,<XRRatioObject: 0x7fde7c0050f0>  %0.21, %0.22
0,Malloc 64 Bytes,1,12 KB,18,7,1,56 KB,25,<XRRatioObject: 0x7fde7c0050f0>  %0.23, %0.09
0,CFDictionary (mutable),192 Bytes,3,16,1,19 KB,19,<XRRatioObject: 0x7fde7c0050f0>  %0.04, %0.21
0,Malloc 208 Bytes,208 Bytes,1,16,3,45 KB,17,<XRRatioObject: 0x7fde7c0050f0>  %0.01, %0.21
0,Malloc 144 Bytes,144 Bytes,1,16,2,39 KB,17,<XRRatioObject: 0x7fde7c0050f0>  %0.01, %0.21
0,Malloc 112 Bytes,1,20 KB,11,0,1,20 KB,11,<XRRatioObject: 0x7fde7c0050f0>  %0.14, %0.00
0,CFBasicHash (value-store),64 Bytes,2,8,320 Bytes,10,<XRRatioObject: 0x7fde7c0050f0>  %0.03, %0.10
0,CFBasicHash (key-store),64 Bytes,2,8,320 Bytes,10,<XRRatioObject: 0x7fde7c0050f0>  %0.03, %0.10
0,CFString (immutable),48 Bytes,1,8,944 Bytes,9,<XRRatioObject: 0x7fde7c0050f0>  %0.01, %0.10
0,Malloc 1,00 KB,1,00 KB,1,8,9,00 KB,9,<XRRatioObject: 0x7fde7c0050f0>  %0.01, %0.10
0,Malloc 224 Bytes,0 Bytes,0,9,1,97 KB,9,<XRRatioObject: 0x7fde7c0050f0>  %0.00, %0.12
0,CFString (mutable),0 Bytes,0,8,512 Bytes,8,<XRRatioObject: 0x7fde7c0050f0>  %0.00, %0.10
0,CFString (store),0 Bytes,0,8,1,00 KB,8,<XRRatioObject: 0x7fde7c0050f0>  %0.00, %0.10
0,Malloc 80 Bytes,640 Bytes,8,0,640 Bytes,8,<XRRatioObject: 0x7fde7c0050f0>  %0.10, %0.00
0,CFCalendar,0 Bytes,0,8,640 Bytes,8,<XRRatioObject: 0x7fde7c0050f0>  %0.00, %0.10
0,CFDictionary (immutable),0 Bytes,0,8,512 Bytes,8,<XRRatioObject: 0x7fde7c0050f0>  %0.00, %0.10
0,Malloc 656 Bytes,0 Bytes,0,8,5,12 KB,8,<XRRatioObject: 0x7fde7c0050f0>  %0.00, %0.10
