Graph, Category,Live Bytes,# Living,# Transitory,Overall Bytes,# Overall,# Allocations (Net / Overall)
1,* All Allocations *,43,34 KB,155,78,79,62 KB,233,<XRRatioObject: 0x7fde7ac46700>  %4.56, %2.29
0,Malloc 48 Bytes,1,50 KB,32,2,1,59 KB,34,<XRRatioObject: 0x7fde7ac46700>  %0.94, %0.06
0,Malloc 64 Bytes,1,12 KB,18,7,1,56 KB,25,<XRRatioObject: 0x7fde7ac46700>  %0.53, %0.21
0,Malloc 32 Bytes,544 Bytes,17,5,704 Bytes,22,<XRRatioObject: 0x7fde7ac46700>  %0.50, %0.15
0,Malloc 16 Bytes,272 Bytes,17,5,352 Bytes,22,<XRRatioObject: 0x7fde7ac46700>  %0.50, %0.15
0,Malloc 128 Bytes,2,00 KB,16,5,2,62 KB,21,<XRRatioObject: 0x7fde7ac46700>  %0.47, %0.15
0,CFString (store),0 Bytes,0,14,27,25 KB,14,<XRRatioObject: 0x7fde7ac46700>  %0.00, %0.41
0,Malloc 192 Bytes,0 Bytes,0,14,2,62 KB,14,<XRRatioObject: 0x7fde7ac46700>  %0.00, %0.41
0,Malloc 112 Bytes,1,20 KB,11,0,1,20 KB,11,<XRRatioObject: 0x7fde7ac46700>  %0.32, %0.00
0,Malloc 80 Bytes,560 Bytes,7,0,560 Bytes,7,<XRRatioObject: 0x7fde7ac46700>  %0.21, %0.00
0,CFDictionary (mutable),192 Bytes,3,2,320 Bytes,5,<XRRatioObject: 0x7fde7ac46700>  %0.09, %0.06
0,Malloc 256 Bytes,0 Bytes,0,4,1,00 KB,4,<XRRatioObject: 0x7fde7ac46700>  %0.00, %0.12
0,Malloc 160 Bytes,640 Bytes,4,0,640 Bytes,4,<XRRatioObject: 0x7fde7ac46700>  %0.12, %0.00
0,Malloc 144 Bytes,288 Bytes,2,2,576 Bytes,4,<XRRatioObject: 0x7fde7ac46700>  %0.06, %0.06
0,Malloc 96 Bytes,96 Bytes,1,2,288 Bytes,3,<XRRatioObject: 0x7fde7ac46700>  %0.03, %0.06
0,Malloc 4,00 KB,12,00 KB,3,0,12,00 KB,3,<XRRatioObject: 0x7fde7ac46700>  %0.09, %0.00
0,CFBasicHash (value-store),64 Bytes,2,1,96 Bytes,3,<XRRatioObject: 0x7fde7ac46700>  %0.06, %0.03
0,CFBasicHash (key-store),64 Bytes,2,1,96 Bytes,3,<XRRatioObject: 0x7fde7ac46700>  %0.06, %0.03
0,Malloc 208 Bytes,208 Bytes,1,2,624 Bytes,3,<XRRatioObject: 0x7fde7ac46700>  %0.03, %0.06
0,Malloc 1,00 KB,1,00 KB,1,1,2,00 KB,2,<XRRatioObject: 0x7fde7ac46700>  %0.03, %0.03
0,CFString (mutable),64 Bytes,1,1,128 Bytes,2,<XRRatioObject: 0x7fde7ac46700>  %0.03, %0.03
0,CFString (immutable),48 Bytes,1,1,128 Bytes,2,<XRRatioObject: 0x7fde7ac46700>  %0.03, %0.03
0,Malloc 304 Bytes,0 Bytes,0,2,608 Bytes,2,<XRRatioObject: 0x7fde7ac46700>  %0.00, %0.06
