Running Time,Self,,Symbol Name
192.0ms   49.7%,0, ,Main Thread  0x9a1a
84.0ms   21.7%,44, , -[Blocks useFreeReferenceTypeInBlock]
35.0ms    9.0%,30, ,  +[NSNumber numberWithInt:]
2.0ms    0.5%,2, ,  -[NSObject autorelease]
2.0ms    0.5%,2, ,  -[__NSGlobalBlock retain]
1.0ms    0.2%,1, ,  -[__NSCFNumber retain]
36.0ms    9.3%,30, , -[Blocks useExternalVariablesInBlock]
6.0ms    1.5%,6, ,  -[__NSMallocBlock retain]
20.0ms    5.1%,15, , -[Blocks useBoundReferenceTypeInBlock]
5.0ms    1.2%,5, ,  -[__NSMallocBlock retain]
14.0ms    3.6%,14, , -[Blocks useFreePrimitiveTypeInBlock]
12.0ms    3.1%,7, , -[Blocks useBoundPrimitiveTypeInBlock]
5.0ms    1.2%,5, ,  -[__NSMallocBlock retain]
7.0ms    1.8%,6, , -[Blocks useSmallBlock]
1.0ms    0.2%,1, ,  -[Blocks smallBlock]
7.0ms    1.8%,7, , -[Blocks useInternalVariablesInBlock]
7.0ms    1.8%,6, , -[Blocks useLargeBlock]
1.0ms    0.2%,1, ,  -[Blocks largeBlock]
3.0ms    0.7%,3, , -[__NSGlobalBlock release]
1.0ms    0.2%,1, , +[NSObject(NSObject) initialize]
1.0ms    0.2%,1, , -[__NSMallocBlock release]
