Running Time,Self,,Symbol Name
67.0ms   29.9%,0, ,Main Thread  0x9477
43.0ms   19.1%,42, , +[NSNumber numberWithInteger:]
1.0ms    0.4%,1, ,  -[NSPlaceholderNumber initWithInteger:]
5.0ms    2.2%,0, , -[NSArray objectEnumerator]
5.0ms    2.2%,0, ,  -[__NSFastEnumerationEnumerator initWithObject:]
3.0ms    1.3%,3, , -[__NSArrayM objectAtIndex:]
3.0ms    1.3%,3, , -[__NSCFNumber retain]
2.0ms    0.8%,2, , -[NSObject autorelease]
2.0ms    0.8%,2, , -[__NSArrayM insertObject:atIndex:]
2.0ms    0.8%,0, , +[NSTimeZone defaultTimeZone]
2.0ms    0.8%,2, , -[__NSArrayM dealloc]
1.0ms    0.4%,1, , +[NSObject(NSObject) initialize]
1.0ms    0.4%,1, , -[NSDate timeIntervalSinceNow]
1.0ms    0.4%,0, , +[NSMutableArray arrayWithCapacity:]
1.0ms    0.4%,0, ,  -[__NSPlaceholderArray initWithCapacity:]
1.0ms    0.4%,1, , -[__NSFastEnumerationEnumerator nextObject]
1.0ms    0.4%,1, , -[__NSCFNumber release]
