Running Time,Self,,Symbol Name
148.0ms   68.8%,0, ,Main Thread  0x8945
145.0ms   67.4%,88, , +[LevenshteinDistance distanceBetween:And:]
51.0ms   23.7%,13, ,  -[NSString substringToIndex:]
36.0ms   16.7%,36, ,   -[__NSCFString substringWithRange:]
1.0ms    0.4%,1, ,   -[__NSCFConstantString autorelease]
1.0ms    0.4%,1, ,   -[NSObject autorelease]
3.0ms    1.3%,3, ,  -[__NSCFString characterAtIndex:]
2.0ms    0.9%,2, ,  -[__NSCFString retain]
1.0ms    0.4%,1, ,  -[__NSCFString length]
2.0ms    0.9%,0, , +[NSTimeZone defaultTimeZone]
1.0ms    0.4%,1, , +[NSObject(NSObject) initialize]
