Running Time,Self,,Symbol Name
141.0ms   57.7%,0, ,Main Thread  0x8d45
133.0ms   54.5%,60, , +[Matrix multiplyMatrix:andMatrix:]
45.0ms   18.4%,14, ,  +[NSNumber numberWithDouble:]
31.0ms   12.7%,31, ,   -[NSPlaceholderNumber initWithDouble:]
7.0ms    2.8%,7, ,  -[NSObject retain]
6.0ms    2.4%,6, ,  -[__NSCFNumber retain]
4.0ms    1.6%,4, ,  -[__NSCFNumber doubleValue]
2.0ms    0.8%,2, ,  -[__NSArrayM objectAtIndex:]
2.0ms    0.8%,0, ,  +[Matrix matrixWithSizeN:M:random:]
2.0ms    0.8%,0, ,   -[Matrix initWithSizeN:M:random:]
1.0ms    0.4%,1, ,    -[__NSArrayM insertObject:atIndex:]
1.0ms    0.4%,0, ,    +[NSArray array]
1.0ms    0.4%,0, ,     -[__NSPlaceholderArray initWithObjects:count:]
1.0ms    0.4%,1, ,      +[__NSArrayM __new::::]
2.0ms    0.8%,2, ,  -[__NSArrayM replaceObjectAtIndex:withObject:]
2.0ms    0.8%,2, ,  -[NSObject release]
1.0ms    0.4%,1, ,  -[Matrix d]
1.0ms    0.4%,1, ,  -[__NSCFNumber release]
1.0ms    0.4%,1, ,  -[NSObject autorelease]
4.0ms    1.6%,0, , +[Matrix matrixWithSizeN:M:random:]
4.0ms    1.6%,1, ,  -[Matrix initWithSizeN:M:random:]
2.0ms    0.8%,1, ,   +[NSNumber numberWithDouble:]
1.0ms    0.4%,1, ,    -[NSPlaceholderNumber initWithDouble:]
1.0ms    0.4%,1, ,   -[__NSArrayM insertObject:atIndex:]
2.0ms    0.8%,0, , -[__NSArrayM dealloc]
2.0ms    0.8%,2, ,  -[__NSArrayM dealloc]
1.0ms    0.4%,1, , +[NSObject(NSObject) initialize]
1.0ms    0.4%,1, , +[NSNumber numberWithDouble:]
