Running Time,Self,,Symbol Name
13.0ms   17.3%,0, ,Main Thread  0x9250
3.0ms    4.0%,3, , +[NSObject respondsToSelector:]
3.0ms    4.0%,0, , +[NSObject performSelector:]
3.0ms    4.0%,3, ,  +[MethodsClass computeClassMethod]
2.0ms    2.6%,2, , +[NSObject class]
2.0ms    2.6%,1, , -[NSObject isKindOfClass:]
1.0ms    1.3%,1, ,  -[NSObject class]
1.0ms    1.3%,1, , -[NSObject respondsToSelector:]
1.0ms    1.3%,1, , +[NSObject(NSObject) initialize]
1.0ms    1.3%,0, , -[NSObject performSelector:]
1.0ms    1.3%,1, ,  -[MethodsClass computeInstanceMethod]
